Date,gross_ret,net_ret,cost,turnover,regime,ann_vol
2023-01-05,0.016529534433173957,0.016529534433173957,0.0,0.0,medium,0.17934224272961857
2023-01-06,-0.008023411106545301,-0.00846278691174295,0.00043937580519764883,0.5547338598451,medium,0.17393937533153303
2023-01-09,-0.03300460046589145,-0.03300460046589145,0.0,0.0,medium,0.1930002734103505
2023-01-10,-0.004907130031553228,-0.004907130031553228,0.0,0.0,medium,0.1897341792739341
2023-01-11,-0.005973624009655813,-0.005973624009655813,0.0,0.0,medium,0.19004741274272843
2023-01-12,-0.007969802459565837,-0.007969802459565837,0.0,0.0,medium,0.18734805471849952
2023-01-13,-0.005347861948351798,-0.005347861948351798,0.0,0.0,medium,0.18702981475028863
2023-01-17,-0.002293030711174544,-0.002293030711174544,0.0,0.0,medium,0.1868517683138051
2023-01-18,-0.0037375921054132216,-0.0037375921054132216,0.0,0.0,medium,0.1641848473345755
2023-01-19,0.008140399398192555,0.008140399398192555,0.0,0.0,medium,0.17517749976817062
2023-01-20,-0.01873731652608862,-0.01873731652608862,0.0,0.0,medium,0.17144947870430885
2023-01-23,-0.02280903385820327,-0.02280903385820327,0.0,0.0,medium,0.18431325943009022
2023-01-24,0.00293181641948043,0.00293181641948043,0.0,0.0,medium,0.18262198164956978
2023-01-25,0.004925853742544249,0.004925853742544249,0.0,0.0,medium,0.17200030957740228
2023-01-26,-0.019275730640201088,-0.019275730640201088,0.0,0.0,medium,0.1718985982047873
2023-01-27,-0.01818983211683114,-0.01818983211683114,0.0,0.0,medium,0.17060971988335077
2023-01-30,0.012177391165211101,0.012177391165211101,0.0,0.0,medium,0.16213626513959592
2023-01-31,-0.0019061359941203448,-0.0019061359941203448,0.0,0.0,medium,0.1622302787170738
2023-02-01,-0.02429315950303787,-0.02429315950303787,0.0,0.0,medium,0.16532975775105643
2023-02-02,-0.06681306133176687,-0.06681306133176687,0.0,0.0,medium,0.16614553167057652
2023-02-03,0.013119785513252522,0.013119785513252522,0.0,0.0,medium,0.17206850459733664
2023-02-06,0.013859857970003374,0.013859857970003374,0.0,0.0,medium,0.1717493562390647
2023-02-07,-0.007361802554255867,-0.007878295955626507,0.0005164934013706412,0.6504860818493705,medium,0.16169984549612604
2023-02-08,0.016617877982910957,0.016617877982910957,0.0,0.0,medium,0.1631310304272618
2023-02-09,0.011555903721262467,0.011555903721262467,0.0,0.0,medium,0.17066113620730175
2023-02-10,0.03248852142592501,0.03248852142592501,0.0,0.0,medium,0.17249534901571872
2023-02-13,-0.005262343322054884,-0.005262343322054884,0.0,0.0,medium,0.17271052148246055
2023-02-14,-0.01686372424618591,-0.01686372424618591,0.0,0.0,medium,0.1761254604607751
2023-02-15,-0.010644780293421415,-0.010644780293421415,0.0,0.0,medium,0.17519102859191496
2023-02-16,0.015833528601474446,0.015833528601474446,0.0,0.0,medium,0.15640416424729628
2023-02-17,0.013685468555236434,0.013685468555236434,0.0,0.0,medium,0.1651740411021575
2023-02-21,0.02642219245823262,0.02642219245823262,0.0,0.0,medium,0.15223149743465947
2023-02-22,-0.002851001681007242,-0.002851001681007242,0.0,0.0,medium,0.16668085351722506
2023-02-23,-0.0004906913159815568,-0.0004906913159815568,0.0,0.0,medium,0.16688392718987494
2023-02-24,0.014580972352625832,0.014580972352625832,0.0,0.0,medium,0.1677506105684333
2023-02-27,-0.01030547847044061,-0.01030547847044061,0.0,0.0,medium,0.16800446000735095
2023-02-28,-0.015086366373568416,-0.015086366373568416,0.0,0.0,medium,0.16708619548378698
2023-03-01,0.0043636234059318026,0.0043636234059318026,0.0,0.0,medium,0.16250358790707592
2023-03-02,-0.007155189836395394,-0.007155189836395394,0.0,0.0,medium,0.15515175000454384
2023-03-03,-0.018195486503881968,-0.018195486503881968,0.0,0.0,medium,0.1542285433103973
2023-03-06,0.021334905430475063,0.021334905430475063,0.0,0.0,low,0.14986983823600875
2023-03-07,0.006574537813470945,0.006574537813470945,0.0,0.0,low,0.14684934472590486
2023-03-08,-0.01545890841579245,-0.01545890841579245,0.0,0.0,medium,0.15295219032236268
2023-03-09,0.0038201098467731684,0.0028039941664851826,0.0010161156802879858,1.3143477373151153,low,0.14697162164716446
2023-03-10,0.002059328869940909,0.002059328869940909,0.0,0.0,medium,0.15481059971666583
2023-03-13,-0.008919629916802665,-0.008919629916802665,0.0,0.0,medium,0.15472302637631843
2023-03-14,-0.009694638340899045,-0.009694638340899045,0.0,0.0,medium,0.15481174820684346
2023-03-15,-0.01569211235300406,-0.01569211235300406,0.0,0.0,medium,0.16501814863567227
2023-03-16,-0.02350811320534068,-0.02350811320534068,0.0,0.0,medium,0.16474516818726967
2023-03-17,-0.010392061991611383,-0.010392061991611383,0.0,0.0,medium,0.1781245223036752
2023-03-20,0.010784917160714443,0.010784917160714443,0.0,0.0,medium,0.1742072453205007
2023-03-21,-0.0033581793904877387,-0.0033581793904877387,0.0,0.0,medium,0.1770073959480007
2023-03-22,0.0035147969971485926,0.0035147969971485926,0.0,0.0,medium,0.16686411014537472
2023-03-23,-0.009112432943424861,-0.009112432943424861,0.0,0.0,medium,0.1763218201660308
2023-03-24,-0.002993539556008523,-0.002993539556008523,0.0,0.0,medium,0.17645721234915898
2023-03-27,0.014113925495753625,0.014113925495753625,0.0,0.0,medium,0.1699343145360596
2023-03-28,0.0022933734552742285,0.0022933734552742285,0.0,0.0,medium,0.1701116185113289
2023-03-29,-0.01869139480344242,-0.01869139480344242,0.0,0.0,medium,0.1708979914986998
2023-03-30,-0.004646555269684145,-0.004646555269684145,0.0,0.0,medium,0.17515922412956844
2023-03-31,-0.010377624295267578,-0.010377624295267578,0.0,0.0,medium,0.17267617476936292
2023-04-03,0.021240472388133355,0.021240472388133355,0.0,0.0,medium,0.17215975719784873
2023-04-04,-0.006044669468857819,-0.006044669468857819,0.0,0.0,medium,0.17236559642132881
2023-04-05,0.016220884432289768,0.016220884432289768,0.0,0.0,medium,0.16262736161206473
2023-04-06,-0.005936953920702785,-0.005936953920702785,0.0,0.0,medium,0.16233273953193605
2023-04-10,0.004437778934582693,0.003920943023353398,0.0005168359112292957,0.6586595782869582,low,0.1427672748342962
2023-04-11,0.006615518428298957,0.006615518428298957,0.0,0.0,low,0.1387677987848325
2023-04-12,0.01368272310844784,0.01368272310844784,0.0,0.0,low,0.13886302012944574
2023-04-13,-0.006821975972020246,-0.006821975972020246,0.0,0.0,low,0.13110735213018157
2023-04-14,0.006298622770218589,0.006298622770218589,0.0,0.0,low,0.13753801878771998
2023-04-17,-0.004582219127372065,-0.004582219127372065,0.0,0.0,low,0.12751255906475203
2023-04-18,0.012958994627191014,0.012958994627191014,0.0,0.0,low,0.12087060235264455
2023-04-19,7.401161100618854e-05,7.401161100618854e-05,0.0,0.0,low,0.12004558403424673
2023-04-20,0.0050283873584384894,0.0050283873584384894,0.0,0.0,low,0.11494176434151322
2023-04-21,0.0019807425004536323,0.0019807425004536323,0.0,0.0,low,0.10887416499987469
2023-04-24,0.009103435914043879,0.009103435914043879,0.0,0.0,low,0.1085758969956131
2023-04-25,0.011548751224116785,0.011548751224116785,0.0,0.0,low,0.10963232621472498
2023-04-26,-0.01010552583040983,-0.01010552583040983,0.0,0.0,low,0.12073089646249224
2023-04-27,-0.01756614098232246,-0.01756614098232246,0.0,0.0,low,0.1217225999083211
2023-04-28,-0.0007637813028259592,-0.0007637813028259592,0.0,0.0,low,0.13682333746270778
2023-05-01,0.006190606325551156,0.006190606325551156,0.0,0.0,low,0.13891975508744964
2023-05-02,0.0010752631320651278,0.0010752631320651278,0.0,0.0,low,0.1300025418877637
2023-05-03,-0.0066470240335431505,-0.0066470240335431505,0.0,0.0,low,0.13585332877854606
2023-05-04,-0.0022240215936373446,-0.0022240215936373446,0.0,0.0,low,0.13746600370148873
2023-05-05,-0.0032422649010996527,-0.0032422649010996527,0.0,0.0,low,0.14011821193584725
2023-05-08,-0.0004239254116522276,-0.0004239254116522276,0.0,0.0,medium,0.15335154960679928
2023-05-09,0.0033132883762079885,0.002477140961275613,0.0008361474149323755,1.04418683727266,medium,0.15330229877436904
2023-05-10,0.000504618004734008,0.000504618004734008,0.0,0.0,medium,0.1540861564266943
2023-05-11,0.0006280233443969427,0.0006280233443969427,0.0,0.0,medium,0.15274723628648545
2023-05-12,0.004913239898367523,0.004913239898367523,0.0,0.0,low,0.14356404908759443
2023-05-15,-0.0033332639437878495,-0.0033332639437878495,0.0,0.0,low,0.1436097729705798
2023-05-16,0.0011331116592362778,0.0011331116592362778,0.0,0.0,low,0.14377910455035584
2023-05-17,-0.008936928906671271,-0.008936928906671271,0.0,0.0,low,0.14522714864380626
2023-05-18,-0.0007661548961566774,-0.0007661548961566774,0.0,0.0,medium,0.15184128134286623
2023-05-19,0.003597362469749038,0.003597362469749038,0.0,0.0,low,0.14775866745902658
2023-05-22,-0.02433781363881827,-0.02433781363881827,0.0,0.0,low,0.1472526330674165
2023-05-23,-0.0031684280118538396,-0.0031684280118538396,0.0,0.0,low,0.1470144398545501
2023-05-24,0.013084096842632766,0.013084096842632766,0.0,0.0,low,0.14293609621407022
2023-05-25,0.034352188035765695,0.034352188035765695,0.0,0.0,low,0.14341382070475772
2023-05-26,-0.018538533027134554,-0.018538533027134554,0.0,0.0,low,0.11770229495253885
2023-05-30,-0.010257651347612511,-0.010257651347612511,0.0,0.0,low,0.1247818450659008
2023-05-31,-0.015442515729283166,-0.015442515729283166,0.0,0.0,low,0.12473389456426952
2023-06-01,0.0059580249440192865,0.0059580249440192865,0.0,0.0,low,0.11752044386526568
2023-06-02,-0.002945325095328344,-0.002945325095328344,0.0,0.0,low,0.1183419347162144
2023-06-05,0.002436279536448496,0.002436279536448496,0.0,0.0,low,0.11753664412349338
2023-06-06,-0.022578352054063174,-0.022578352054063174,0.0,0.0,low,0.10512827582310388
2023-06-07,-0.009694583834089908,-0.009694583834089908,0.0,0.0,low,0.1051518209769318
